ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,duration,local_orig,proto,orig_bytes,resp_bytes,conn_state,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,label
1722971870.599407,CYtAA41gMqWMfdWDxa,192.168.1.4,44278,3.220.244.212,443,0.48860192300000005,True,udp,1876,4245,SF,False,0,ShADadFRf,11,2432,11,4825,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971870.535526,CAhWh70FLYCCXn4Fh,192.168.1.4,58332,192.168.1.1,53,0.48860192300000005,True,udp,1876,4245,SF,False,0,ShADadFRf,11,2432,11,4825,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.014983,Ci7GUDlJLwbjypiw9,192.168.1.4,44128,192.168.1.1,53,0.48860192300000005,True,udp,1876,4245,SF,False,0,ShADadFRf,11,2432,11,4825,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.272136,CIttaC1F1fvIr2Tznd,192.168.1.4,37172,54.197.190.99,443,0.48860192300000005,True,udp,1876,4245,SF,False,0,ShADadFRf,11,2432,11,4825,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.712969,CVvKVw3mJw2h5enI07,192.168.1.4,54952,172.64.149.180,443,0.48860192300000005,True,udp,1876,4245,SF,False,0,ShADadFRf,11,2432,11,4825,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971867.149902,Cu9OFt4FyKNANJURO7,192.168.1.4,50414,192.168.1.1,53,0.042691946,True,udp,37,431,SF,True,0,Dd,1,65,1,459,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.410477,CtK4HE4sNNUZHRDk6e,192.168.1.4,40862,69.173.146.5,443,0.042691946,True,udp,37,431,SF,True,0,Dd,1,65,1,459,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971872.067238,CAeNqv2r3iIiH4JCql,192.168.1.4,48618,192.168.1.1,53,0.042691946,True,udp,37,431,SF,True,0,Dd,1,65,1,459,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971869.244431,CdBQkQ3DvLD58XYm1g,192.168.1.4,54644,192.168.1.1,53,0.019783973700000002,True,udp,32,147,SF,True,0,Dd,1,60,1,175,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971867.877989,CurJPP3DRaWQtpmoD8,192.168.1.4,59219,192.168.1.1,53,0.0039348602,True,udp,46,113,SF,True,0,Dd,1,74,1,141,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971869.092812,CNaqOf1eYnx6U8skz8,192.168.1.4,48389,192.168.1.1,53,0.0050158501,True,udp,44,105,SF,True,0,Dd,1,72,1,133,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971869.574975,CyZJbM0xDQA8Vi4vh,192.168.1.4,52334,146.75.28.84,443,0.0050158501,True,udp,44,105,SF,True,0,Dd,1,72,1,133,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.541783,CDpAyW1gugmQwiuhXd,192.168.1.4,57624,146.75.37.108,443,0.0050158501,True,udp,44,105,SF,True,0,Dd,1,72,1,133,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.183955,C9W1HP3GVQCzwK3QPa,192.168.1.4,35972,8.28.7.82,443,0.06693506240000001,True,tcp,1857,4507,SF,False,0,ShADadFRfR,9,2297,8,4931,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.138203,CV2IJmxdqgsMN335l,192.168.1.4,54648,52.46.128.147,443,0.06693506240000001,True,tcp,1857,4507,SF,False,0,ShADadFRfR,9,2297,8,4931,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.42285,CfsMPS19ffdZYPGYme,192.168.1.4,33204,157.230.58.12,443,0.06693506240000001,True,tcp,1857,4507,SF,False,0,ShADadFRfR,9,2297,8,4931,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.074181,CjFfIp60vq5TvvSkg,192.168.1.4,33768,192.168.1.1,53,0.06693506240000001,True,udp,1857,4507,SF,False,0,ShADadFRfR,9,2297,8,4931,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.752856,CRpa0O31bNMIABMNLh,192.168.1.4,60374,18.210.34.193,443,0.06693506240000001,True,udp,1857,4507,SF,False,0,ShADadFRfR,9,2297,8,4931,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.05851,CriJ7f2FwbNnzUtRA5,192.168.1.4,60904,20.33.59.55,443,0.06693506240000001,True,udp,1857,4507,SF,False,0,ShADadFRfR,9,2297,8,4931,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.652358,CECckc38Zo493Tcq5,192.168.1.4,48329,192.168.1.1,53,0.06693506240000001,True,udp,1857,4507,SF,False,0,ShADadFRfR,9,2297,8,4931,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.382126,CRRSMB3cVB3dbDlDAa,192.168.1.4,33196,216.219.92.22,443,0.06693506240000001,True,udp,1857,4507,SF,False,0,ShADadFRfR,9,2297,8,4931,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.104258,COtU2n1N7qdEaFFA0i,192.168.1.4,51656,23.205.105.17,443,0.06693506240000001,True,udp,1857,4507,SF,False,0,ShADadFRfR,9,2297,8,4931,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971869.393878,ChZGUM2CwTNcXleXbg,192.168.1.4,40152,192.168.1.1,53,0.0284440517,True,udp,32,110,SF,True,0,Dd,1,60,1,138,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971869.362357,C5fiUxhrtxw7DUl7c,192.168.1.4,45960,3.33.220.150,443,2.2749211788,True,tcp,1918,4408,SF,False,0,ShADadFf,9,2394,8,4832,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.315096,CpgJoE4OtbCVdABKQk,192.168.1.4,41302,192.168.1.1,53,2.2749211788,True,udp,1918,4408,SF,False,0,ShADadFf,9,2394,8,4832,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971870.517067,C9VmbT1ep0tUprB3Z9,192.168.1.4,38301,192.168.1.1,53,2.2749211788,True,udp,1918,4408,SF,False,0,ShADadFf,9,2394,8,4832,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971868.590493,CvHR3226QKp0nyCKAc,192.168.1.4,40159,192.168.1.1,53,0.0089049339,True,udp,30,212,SF,True,0,Dd,1,58,1,240,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971870.4091,CfTaKE22F7kifFSBkf,192.168.1.4,43658,3.166.192.39,443,0.0089049339,True,udp,30,212,SF,True,0,Dd,1,58,1,240,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.652424,CSg4ID2FyVBB5rwsGf,192.168.1.4,57867,192.168.1.1,53,0.0089049339,True,udp,30,212,SF,True,0,Dd,1,58,1,240,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971869.226679,C2m28s44xQGm63moR,192.168.1.4,44057,192.168.1.1,53,0.0418457985,True,udp,35,468,SF,True,0,Dd,1,63,1,496,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.761175,CcS3Xs9HR7w7zPVa7,192.168.1.4,40418,174.137.133.32,443,0.0765051842,True,tcp,2912,1017,SF,False,0,ShADadfF,8,3336,7,1389,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971870.540744,CPcvGf2NWHBtWnuEmi,192.168.1.4,33902,35.239.64.48,443,0.1314308643,True,tcp,1830,6241,SF,False,0,ShADadFRfR,10,2322,8,6665,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
